French,English
je,I
de,of
est,is
pas,not
le,the
vous,you
la,the
tu,you
que,than
un,a
il,he
et,and
à,To
a,To
ne,born
les,the
ce,this
en,in
on,we
ça,that
une,a
ai,have
pour,for
des,from
moi,me
qui,who
nous,we
y,there
mais,corn
me,me
dans,in
du,from
bien,good
elle,she
si,if
tout,all
plus,more
non,no
mon,my
suis,am
te,you
au,to
avec,with
va,goes
oui,Yes
toi,you
fait,do
ils,they
as,ace
être,to be
faire,do
se,himself
comme,like
était,was
sur,on
quoi,what
ici,here
sais,know
lui,him
veux,want
ma,my
là,the
rien,nothing
dit,said
es,es
où,or
votre,your
pourquoi,Why
sont,are
cette,this
quand,when
par,by
son,his
ton,your
peux,can
vais,am going to
dire,to say
alors,So
comment,How? 'Or' What
avez,have
bon,Well
ou,Where
très,very
merci,thank you
ont,have
même,same
jamais,never
aussi,also
voir,to see
chose,thing
allez,go
tous,all
deux,of them
ces,those
faut,should
sa,her
êtes,are
été,summer
ta,your
fais,do
avoir,to have
peut,may
autre,other
m,m
encore,Again
maintenant,now
peu,little
mes,my
vraiment,really
temps,time
notre,our
toujours,always
vie,life
sans,without
juste,correct
oh,Oh
avait,was having
accord,OK
vu,seen
monde,world
quelque,some
fois,times
aller,to go
trop,too much
viens,come
crois,believe
dieu,God
dois,have
homme,man
père,father
sûr,sure
aux,to
leur,their
avant,before
étais,was
besoin,need
femme,women
aime,love
personne,no one
avais,had
chez,at the house of
vrai,true
ans,years
mal,wrong
ses,his
parler,to speak
vos,your
après,after
mort,dead
veut,wants
eu,had
sera,will be
bonne,good
parce,by
mieux,better
petit,small
voilà,so
tes,your
ca,that
dis,say
beaucoup,many
depuis,since
doit,must
vois,see
mère,mother
vas,going
monsieur,Sir
quel,what
déjà,already
fille,girl
gens,people
donc,so
jour,day
soir,evening
autres,others
ii,ii
toute,all
bonjour,Hello
ll,It
maison,House
nom,name
argent,silver
nos,our
ouais,Yeah
pense,thought
merde,shit
nuit,night
papa,dad
cela,that
salut,Salvation
cet,this
avons,have
reste,rest
désolé,sorry
maman,mom
peur,fear
arrive,come
seul,alone
vite,fast
prendre,to take
regarde,looked
air,air
soit,that is
trois,three
quelle,what
passé,pass
savoir,to know
plaît,please
choses,things
moins,less
fils,son
entre,Between
bas,low
appelle,call
passe,past
ah,ha
tête,head
demain,tomorrow
grand,big
arrête,stopped
faites,done
voulez,want
hé,Hey
attends,hold on
hein,eh
enfants,children
assez,enough
raison,raison
aurais,would
voulais,wanted
elles,they
parle,speak
ok,OK
jours,days
dû,from
moment,moment
heure,time
puis,then
gars,guys
hommes,men
amour,love
tard,late
toutes,all
sommes,are
tuer,to kill
eh,eh
ami,friend
connais,know
petite,small
aider,to help
chance,luck
savez,know
partir,to leave
sait,know
combien,How
voiture,car
tant,so much
pris,taken
part,go
problème,problem
prends,take
porte,door
coup,cut
serait,would
venir,to come
hui,hui
famille,family
travail,work
pu,could
seule,alone
sens,meaning
ni,or
allons,lets go
revoir,meet again
idée,idea
putain,whore
passer,to pass
contre,vs
comprends,understand
entendu,understood
trouvé,find
trouver,find
vieux,old
vient,come
pendant,during
aurait,would have
quelques,a few
attention,Warning
demande,request
chercher,look for
sous,under
voici,here is
pourrait,could
sang,blood
pouvez,can
sortir,to take out
question,question
histoire,story
amis,friends
venez,come
frère,brother
rester,to stay
fini,finished
ville,city
nouveau,new
truc,thing
tiens,take
mois,month
eux,them
mec,guy
yeux,eyes
laisse,leave alone
super,Great
belle,beautiful
longtemps,long time
police,police
eau,water
heures,time
car,because
importe,imported
cas,case
vont,are going
chaque,each
terre,Earth
place,square
tué,kill
type,type
main,hand
pardon,sorry
ensemble,together
seulement,only
guerre,war
beau,handsome
vers,towards
mme,Mrs
prie,pray
devant,before
trouve,find
partie,part
suite,following
compris,understood
matin,morning
leurs,their
aucun,any
arrivé,come
dessus,above
chérie,Dear
mettre,to put
aide,help
étaient,were
ie,ie
perdu,lost
fin,end
sois,be
premier,first
genre,kind
aimerais,would like to
droit,right
donne,given
attendez,wait
jeune,young
feu,fire
devrais,should
enfant,child
chambre,room
gros,large
côté,side
venu,came
loin,far
laisser,let
donner,to give
jouer,to play
savais,knew
compte,account
s,s
parlé,speak
minutes,minutes
regardez,look
train,train
première,first
pouvoir,power
aura,will have
mourir,pass away
dernière,last
donné,given
ia,ia
mari,husband
écoute,listen
enfin,finally
devrait,should
mis,placed
film,movie
aucune,any
fort,strong
façon,way
pays,country
prêt,ready
madame,Mrs
femmes,women
affaire,case
pourrais,could
espère,hope
parti,left
h,h
boulot,gig
endroit,place
fou,crazy
corps,body
hier,yesterday
dont,whose
désolée,sorry
grande,big
point,point
cinq,five
dehors,out
filles,girls
cause,cause
vivre,live
près,near
pensais,thought
garçon,boy
chef,chief
haut,high
capitaine,captain
dirait,would say
bébé,baby
celui,that's why I wrote to you
demandé,request
possible,possible
mains,hands
ainsi,so
quatre,four
nouvelle,news
années,years
plein,full
semaine,week
dites,say
croire,to believe
marche,walk
tour,tower
école,school
manger,eat
plutôt,rather
docteur,doctor
ceux,those
vérité,truth
vue,view
arrêter,Stop
essaie,try
envie,desire
bientôt,soon
instant,moment
dernier,last
affaires,business
arriver,to arrive
demander,to ask
meilleur,better
font,make
derrière,behind
c,vs
dollars,dollars
presque,almost
dr,dr
tellement,so much
tomber,to fall
journée,daytime
voulait,wanted to
appeler,to call
bureau,desk
confiance,confidence
garde,keep
attendre,wait
numéro,number
serai,will
dur,hard
á,To
souviens,remember
o,o
voyez,see
cours,Classes
bonsoir,Good evening
route,road
fera,will
prend,take
cul,ass
abord,on board
important,important
peine,sadness
croyais,thought
mot,word
devez,must
suffit,enough
minute,minute
ferme,closed
ben,ben
plaisir,pleasure
chien,dog
jeu,Game
seigneur,Lord
messieurs,gentlemen
calme,calmed down
voudrais,would like
heureux,happy
prenez,take
mariage,wedding
voit,sees
parents,parents
lls,They
dedans,inside
entrer,enter
lit,bed
parfait,perfect
fous,crazy
mlle,Ms
rentrer,to return
ait,has
musique,music
arrêtez,stop
autant,so much
service,service
reviens,come back
ceci,this
drôle,funny
attend,waits
parfois,sometimes
téléphone,telephone
retour,return
ira,will
e,e
pauvre,poor
verre,glass
général,general
new,new
six,six
pensé,thought
l,the
impossible,impossible
fête,Party
adore,love
coeur,heart
aimes,love
ci,this
ferai,will
président,President
doute,doubt
facile,easy
entends,hear
payer,pay
appelé,called
prison,jail
john,john
sors,go outside
café,Coffee
vaut,worth
mauvais,Wrong
chéri,Dear
oublié,forget
bras,arm
i,i
gentil,kind
faute,mistake
équipe,team
exactement,exactly
cœur,heart
penser,to think
changer,change
commence,start
lieu,place
entendre,to hear
ies,ies
roi,King
plan,plan
partout,all over
joue,play
cher,Dear
morts,dead
rendre,to bring back
écrit,writing
travailler,to work
malade,sick
sinon,otherwise
génial,awesome
regarder,to look at
veulent,want
montrer,to show
rentre,returns
travaille,work
armée,army
voulu,desired
cherche,look for
état,state
boire,to drink
sécurité,security
dès,from
esprit,spirit
année,year
dix,ten
york,york
laissé,leave alone
bois,drink
mets,dish
propre,clean
soyez,are
jack,jack
essayer,to try
faisait,was
tôt,early
surtout,mostly
arme,armed
t,t
rêve,dream
perdre,to lose
avis,opinion
semble,seems
pire,worse
simple,simple
penses,think
parles,talk
paix,peace
livre,delivered
dormir,to sleep
voyons,see
difficile,hard
retard,delay
allait,was going to
d,d
sujet,topic
appris,learned
ensuite,then
sauf,except
maître,master
morte,dead woman
noir,black
or,gold
dîner,having dinner
choix,choice
serais,would
écoute,listen
sale,dirty
étiez,were
sûrement,surely
an,year
ordre,order
souvent,often
essayé,try
peuvent,can
visage,face
bout,end
changé,exchange
sérieux,serious
inquiète,worry
âge,age
photo,Photo
rue,Street
tirer,shoot
comprendre,understand
face,face
semaines,weeks
marché,Marlet
questions,Questions
honneur,honor
ciel,sky
allé,go
garder,to keep
chemin,path
grave,serious
gauche,left
petits,small
courant,running
amie,friend
nouvelles,new
avion,plane
con,cunt
content,happy
force,strength
millions,million
oublie,forget
devoir,to have to
prochaine,next
prix,price
propos,about
bateau,boat
bouge,moves
voix,voice
rouge,Red
restez,stay
celle,that
pouvais,could
personnes,people
ferais,would
début,start
espèce,species
gueule,mouth
acheter,to buy
continue,keep on going
sort,fate
faim,hunger
long,long
j,j
voyage,travel
message,message
sorte,kind
reçu,received
bienvenue,Welcome
idiot,idiot
certains,some
hôpital,hospital
promis,promised
devenir,to become
ouvre,opens
grâce,Grace
sûre,safe
problèmes,problems
armes,arms
trucs,stuff
camp,camp
allais,going
occupe,to keep busy
devait,was
manque,lack
connaissez,know
thé,tea
avaient,had
cheveux,hair
soleil,Sun
salle,room
gagner,to win
laissez,leave
erreur,fault
cru,believed
pars,leave
bizarre,weird
croyez,believe
sac,bag
hôtel,hotel
oncle,uncle
pièce,room
pouvait,could
fond,fund
soirée,evening
secret,secret
patron,boss
rapport,report
apprendre,to learn
commencé,start
sauver,to save
seconde,second
pensez,think
allô,Hello
ailleurs,somewhere else
agent,agent
froid,cold
seras,shalt
pied,foot
jolie,pretty one
revenir,to come back
scène,scene
pieds,feet
n,not
devons,must
groupe,group
carte,map
aurai,have
effet,effect
neuf,new
fallait,needed
monte,mounted
battre,to beat
noël,Christmas
venue,arrival
mots,words
tire,drawn
droite,right
libre,free
soeur,sister
situation,situation
seront,will
faux,false
bordel,mess
foutre,fuck
lumière,light
euh,uh
incroyable,incredible
tue,kill
joli,attractive
connaît,knows
debout,standing
colonel,colonel
cheval,horse
écoutez,Listen
george,george
joe,joe
vieille,old woman
entrez,Come in
intérieur,inside
coin,corner
auras,get
gagné,won
fric,money
loi,law
absolument,absoutely
dame,lady
cool,cool
magnifique,Magnificent
dos,back
occuper,to occupy
présent,here
retrouver,to regain
réussi,success
frank,frank
rencontrer,meet
aviez,had
meilleure,best
âme,soul
prêts,loans
doucement,gently
table,table
lettre,letter
rappelle,remember
sam,sat
fut,was
risque,risk
ordres,orders
appel,call
commencer,to start
terminé,ended
agit,is
blanc,White
sœur,sister
pareil,the same
charlie,charlie
chaud,hot
finir,to finish
touche,hit
avance,advance
ignore,unknown
meurtre,murder
tranquille,calm
anniversaire,birthday
déjeuner,to eat lunch
disais,said
bord,edge
tom,tom
jeunes,youth
accident,accident
parlez,speak
fasse,make
complètement,completely
déteste,hated
clair,light
marcher,walk
disait,said
mauvaise,nad
envoyé,sent
â,To
professeur,professor
heureuse,happy
doivent,must
midi,midday
lire,read
moyen,way
ferait,would do
commandant,commanding officer
vraie,real
sept,seven
forme,form
tombe,grave
silence,silence
sortez,get out
connaître,to know
puisse,can
cadeau,gift
flics,cops
mer,sea
médecin,doctor
exact,exact
décidé,decided
moitié,half
surprise,surprise
avocat,lawyer
montre,show
b,b
su,knew
porter,carry
télé,TV
vivant,living
jure,sworn
disent,say
mr,mr
serez,will
devriez,should
devenu,become
aimé,love
diable,Devil
ligne,line
mission,mission
suppose,Assumed
chacun,each
autour,around
pote,mate
grosse,fat
expliquer,to explain
arrivée,arrival
monter,ascend
balle,ball
selon,according to
photos,Pictures
contrôle,control
prête,ready
anglais,English
sorti,got out
k,k
bons,good
disparu,faded away
tenir,hold
simplement,simply
quitter,leave
envoie,send
paul,paul
aimer,like
voie,way
paris,Paris
classe,class
huit,eight
offre,offer
poste,job
dangereux,dangerous
attaque,attack
impression,impression
folle,crazy
michael,michael
mange,eat
bravo,well done
arrière,back
amérique,America
suivre,to follow
aille,go
oublier,to forget
peuple,people
baiser,kiss
rencontré,encounter
honte,shame
connard,shithead
trou,hole
retourner,to return to
chanson,song
change,exchange
arrêté,stopped
enfer,hell
écrire,to write
livres,books
habitude,habit
réponse,reply
david,david
lieutenant,lieutenant
savait,knew
radio,radio
tenez,hold
bande,bandaged
bob,bob
rend,makes
compagnie,company
connu,known
secours,help
danse,dance
met,puts
vol,flight
vit,lives
conneries,bullshit
aurez,will
imagine,conceived
boîte,box
joué,play
triste,sad
sud,South
lu,read
tel,Phone
merveilleux,marvellous
pute,bitch
aie,Ouch
ressemble,looks like
coucher,to sleep
ennuis,trouble
volé,Fly
sortie,exit
devais,had
combat,fight
bouche,mouth
certain,certain
visite,visit
existe,exist
bête,beast
retourne,return
approche,approach
pourtant,yet
plusieurs,various
rire,laugh
but,goal
sergent,sergeant
public,public
système,system
présente,present
dirai,tell
faudra,will
écouter,to listen
hors,except
exemple,example
vendre,to sell
continuer,Continue
coups,shots
pourra,will
sympa,nice
nord,North
cuisine,food
époque,era
grands,great
héros,hero
étrange,strange
avenir,to come up
danger,danger
envoyer,send
gouvernement,government
danser,to dance
lune,moon
etre,to be
poser,to pose
partez,leave
normal,normal
peau,skin
santé,health
ecoutez,Listen
ouvrir,to open
nez,nose
secondes,seconds
amoureux,in love
dommage,shame
pleine,full
mille,thousand
banque,Bank
voler,steal
clé,key
bonnes,good
paraît,seems
servir,to serve
journal,newspaper
village,town
tient,is holding
flic,cop
salaud,bastard
juge,judge
tiré,drawn
cour,court
assis,seated
bruit,noise
terrible,terrible
prochain,next
inspecteur,inspector
liberté,freedom
blague,joke
robe,dress
crime,crime
bière,beer
tas,heap
viennent,are coming
don,Don
reine,Queen
protéger,protect
seuls,only
préfère,favorite
bar,bar
dingue,crazy
vent,wind
pitié,pity
croit,believes
payé,paid
travers,through
club,club
garçons,boys
conseil,advice
mesdames,ladies
sol,ground
bonheur,happiness
rêves,dreams
centre,center
thé,tea
mêmes,same
avions,had
mike,mike
nulle,nothing
stupide,stupid
pouvons,can
vin,wine
tante,aunt
sent,feels
fiche,plug
milieu,environment
signe,sign
unis,United
appelez,call
départ,departure
inutile,useless
emmener,bring
comprenez,understand
liste,listing
gamin,kid
johnny,johnny
hey,hey
prise,socket
savent,know
différent,different
verra,will
probablement,probably
intérêt,interest
choisi,selected
parole,speech
ennemi,enemy
vêtements,clothes
aimez,like
recherche,research
société,society
faisais,doing
peter,to fart
œil,eye
soin,care
chère,Dear
tourne,turned
ià,ià
descendre,to come down
félicitations,congratulations
pose,pose
position,position
oeil,eye
vouloir,want to
mecs,guys
irai,go
spectacle,show
acheté,bought
laquelle,which
rôle,role
intéresse,interested
utiliser,use
match,match
devient,bECOMES
quitté,quits
asseoir,Sit
environ,about
plait,please
mur,Wall
blessé,hurt
mise,setting
harry,harry
you,you
beauté,beauty
salope,slut
parie,bet
sert,serves
soldats,soldiers
films,movies
américain,American
marier,marry
entrée,entrance
soldat,soldier
ouvert,open
sauter,to jump
londres,London
eiie,eiie
lequel,who
lâche,cowardly
église,church
pierre,Pierre
art,art
fenêtre,window
humain,human
tort,wrong
cerveau,brain
coupable,guilty
petites,small
promets,promise
adresse,address
prince,prince
quartier,district
espoir,hope
conduire,drive
auriez,would
ridicule,ridiculous
justice,justice
rose,pink
venus,Venus
max,max
jimmy,jimmy
presse,hurry
adieu,goodbye
revient,come back
expérience,experience
présenter,to present
tombé,grave
faisons,do
épouser,marry
frères,brothers
veuillez,please
revenu,income
colère,anger
bill,bill
vis,screw
james,james
pourriez,might
jim,jim
intéressant,interesting
ouvrez,open
nature,nature
gosse,kid
taxi,Taxi
fier,proud
preuve,evidence
riche,rich
faudrait,should
base,based
fleurs,flowers
vide,empty
portes,doors
mademoiselle,miss
formidable,wonderful
nul,no
directeur,director
chanter,to sing
contact,contact
histoires,stories
marié,married
défense,defense
répondre,to respond
excuse,excuse
responsable,responsible
deuxième,second
mary,mary
san,san
appartement,apartment
décision,decision
cinéma,movie theater
jeter,to throw
aimais,liked
cacher,hide
glace,ice
occasion,occasion
dents,teeth
vacances,holidays
course,race
ravi,delighted
tueur,killer
sentir,feel
courage,courage
jésus,Jesus
allée,driveway
capable,able
essayez,try
sauvé,Safe
longue,long
parmi,among
continuez,go on
paie,pay
superbe,superb
français,French
souvenir,memory
ouest,Where is
dégage,clear
jambes,legs
coupe,chopped off
immédiatement,immediately
machine,machine
épouse,spouse
telle,such
marie,married
mien,mine
pius,pius
certainement,certainly
bombe,bomb
types,Types
p,p
né,not
manière,manner
gagne,wins
prévu,foreseen
chier,take a dump
trouves,found
u,u
idées,ideas
touché,touch
rendu,made
monstre,monster
km,km
retrouve,finds
ha,Ha
f,f
importance,importance
joie,joy
dérange,disturbs
arrivent,arrive
court,short
pont,bridge
foutu,fucking
bain,bath
oubliez,forget
tourner,turn
contente,satisfied
attendais,expecting
cent,hundred
enchanté,nice to meet you
signifie,means
américains,US
iis,iis
quitte,quits
poisson,fish
henry,henry
ayez,have
terrain,ground
enquête,investigation
horrible,horrible
chat,cat
certaines,some
r,r
camion,truck
copine,friend
joyeux,happy
shérif,sheriff
ramener,to bring back
descends,down
éviter,to avoid
projet,project
and,and
dossier,case
respect,respect
excellent,excellent
envers,towards
mariée,married
occupé,busy
lorsque,when
blanche,White
majesté,majesty
rencontre,encounter
toucher,to touch
ange,angel
refuse,refuse
charge,charged
billy,billy
chevaux,horses
v,v
chiens,dogs
empêcher,to prevent
dure,hard
zone,zoned
faits,facts
animaux,animals
meilleurs,best
plupart,mostly
emmène,takes
étions,were
politique,Politics
chaussures,shoes
langue,tongue
mangé,eat
douleur,pain
planète,planet
offrir,to offer
règles,rules
drogue,drug
réalité,reality
bus,bus
enfoiré,Motherfucker
dirais,say
permis,allowed
vécu,lived
chapeau,hat
île,Isle
réunion,meeting
soient,are
contraire,contrary
tony,tony
mettez,put
nick,nick
arrivera,to arrive at
excuser,excuse
code,coded
couleur,color
rapide,quick
raconte,recount
papier,paper
discuter,to discuss
opération,operation
cartes,cards
nourriture,food
entier,whole
nécessaire,necessary
frais,costs
toilettes,bathroom
spécial,special
vaisseau,vessel
action,action
princesse,Princess
magasin,store
copain,boyfriend
sache,know
bu,drank
steve,steve
découvert,discovered
pain,bread
mignon,cute
taille,cut
sacré,sacred
rends,thank
eddie,eddie
double,double
viendra,will come
imbécile,imbecile
essaye,try
champ,field
personnel,staff
client,customer
lait,milk
contrat,contract
partis,gone
sexe,sex
mienne,mine
repas,meal
mémoire,memory
destin,destiny
direction,direction
dors,sleep
faite,done
pleurer,cry
couteau,knife
malin,malignant
remettre,to put back
ray,ray
témoin,witness
restes,remains
mètres,meters
trésor,treasure
gosses,kids
aiment,like
washington,Washington
habite,reside
foi,faith
puisque,since
apporté,brought
solution,solution
trouvez,find
nouveaux,new
réfléchir,think
choisir,Choose
goût,taste
remercie,thank
détruire,destroy
université,university
doux,soft
beaux,beautiful
raconter,to tell about
vitesse,speed
menti,lied
três,very
procès,trial
enceinte,pregnant
amuser,amuse
niveau,level
vus,seen
miss,Miss
fermer,to close
arranger,arrange
end,end
clients,clients
rappeler,recall
Alex,Alex
failli,bankrupt
arbre,tree
papiers,papers
Sarah,Sarah
mérite,deserved
différence,difference
travaillé,work
disons,let's say
bleu,blue
dise,tell
aimait,loved
appelles,call
espace,space
caméra,camera
censé,supposed
qu,that
piste,track
sourire,to smile
courir,to run
accepter,accept
retrouvé,found
charles,charles
jambe,leg
angleterre,England
quels,what
préparer,to prepare
marre,fed up
forces,strengths
tirez,pull
énorme,huge
Danny,Danny
trés,very
invité,guest
rentré,returns
officier,officer
pièces,rooms
lettres,letters
file,file
programme,program
tommy,tommy
arrêt,stop
fout,fout
balles,bullets
flingue,gat
chasse,hunt
regrette,sorry
to,to
propres,own
victime,victim
appartient,belongs
france,France
unique,unique
régler,adjust
moindre,lesser
compter,to count
voitures,Car
énergie,energy
fil,wire
lycée,high school
crise,crisis
stop,stop
image,picture
vérifier,to verify
dimanche,Sunday
appareil,device
justement,exactly
richard,richard
noms,names
million,million
cassé,broken
enlever,to take off
clés,Keywords
noire,black
man,man
dépend,depends
derniers,last
doigts,fingers
réponds,answer
honnête,honest
prouver,to prove
preuves,evidence
durant,during
souris,mouse
entendez,hear
lever,raise
oiseau,bird
belles,beautiful
oû,Where
apporte,brings
grandes,great
morceau,piece
bobby,bobby
bougez,move
amène,bring
interdit,forbidden
présence,presence
récupérer,to recover
quelles,what
manqué,lack
cou,neck
venait,had
étage,stage
regard,look
bouger,to move
finalement,ultimately
couper,to cut
urgence,emergency
perds,lose
points,points
meurt,dies
partons,leave
troisième,third
savons,know
folie,madness
ancien,old
chante,sung
obtenir,get
répète,say again
toit,roof
humains,humans
robert,robert
jardin,garden
métier,job
poche,poached
méchant,bad
paradis,paradise
proche,close
rejoindre,to rejoin
lors,during
nombre,number
crains,fear
règle,rule
frapper,to hit
intention,intention
succès,success
forte,strong
gentille,gentle
campagne,campaign
raisons,reasons
malgré,despite
alcool,alcohol
regardé,look at
jerry,jerry
billets,tickets
fantastique,fantastic
lee,lee
théâtre,theater
vôtre,your
samedi,Saturday
pluie,rain
fermé,firm
relation,relationship
frappé,hit
restaurant,restaurant
douce,gentle
maladie,disease
parlait,speaking
raté,missed
casse,broken
dessous,below
pourrai,could
victoire,Victoire
voudrait,would
remarqué,remark
assurer,to assure
pleure,cry
bouteille,bottle
gare,station
carrière,career
sentiments,feelings
suivi,followed
vies,lives
fiston,son
vendu,sold
attendant,Meanwhile
pourras,able
amoureuse,in love
mens,mens
falloir,to need
chinois,Chinese
étranger,foreigner
appelait,called
assure,assures
étant,being
queue,tail
odeur,odour
enlève,removes
produit,product
meurs,die
secrets,secrets
pression,pressure
fatigué,tiredness
aies,hast
plage,Beach
okay,okay
animal,animal
frappe,hit
montagne,Mountain
coffre,chest
passage,passage
suivant,next
signal,signal
discours,speech
cents,cents
claire,Claire
g,g
rivière,river
costume,suit
prendra,will take
souhaite,wish
hasard,chance
journaux,newspapers
aveugle,blind
lis,read
demandez,ask
retraite,retirement
afin,in order to
vendredi,Friday
van,van
auraient,would
obligé,obligatory
major,Staff
neige,snow
remercier,to thank
fusil,musket
gardes,guards
faible,low
pauvres,poor
noirs,black
gâteau,cake
cesse,constantly
parfaitement,perfectly
excuses,apology
viande,meat
ministre,Minister
univers,universe
vienne,Vienna
utile,useful
demandais,asked
crétin,dumbass
gaffe,gaffe
cache,hidden
disant,saying
décider,decide
dort,sleeps
gaz,gas
blancs,whites
connaissance,awareness
vouliez,wanted
jake,jake
vidéo,video
bataille,battle
vive,viva
anna,anna
martin,martin
iui,iui
os,bone
entend,hears
jeux,games
will,will
verras,see
date,dated
échapper,escape
naissance,birth
droits,rights
assassin,assassin
attendu,expected
montez,mount
nouvel,new
pensent,think
génie,genius
sérieusement,seriously
cible,target
prépare,prepare
agir,to act
militaire,military
futur,future
attraper,to grab
bal,ball
europe,Europe
californie,California
donnez,give
cousin,cousin
vert,green
poids,weight
volonté,will
ventre,stomach
accepte,accepted
amené,bring
recevoir,to receive
inquiétez,worry
perd,loses
autrement,other
informations,news
titre,title
célèbre,famous
couple,couple
sexy,sexy
serons,will
certaine,some
parlons,let's talk
star,star
étoiles,stars
rome,Rome
los,the bone
répondu,answered
resté,rest
charmant,charming
puissant,powerful
zéro,zero
genoux,knees
mine,mine
couilles,balls
pilote,pilot
maria,maria
style,style
ramène,brings back
voulons,want to
embrasser,to kiss
amener,to bring
valeur,value
fortune,fortune
reprendre,to resume
revenez,return
vieil,old
walter,walter
servi,served
arrivés,arrived
lève,survey
voleur,thief
côtés,sides
chris,chris
note,note
préféré,prefer
couché,layer
milliers,thousands
