French,English
passons,spend
vic,vic
semblez,seem
gérer,to manage
électricité,electricity
invitée,invited
injuste,unfair
désirez,wish
lampe,lamp
normalement,normally
causer,cause
dalle,slab
mondiale,World
comptez,count
rouler,to roll
filmer,filming
rapporte,reports
sourd,deaf
trouveras,find
alliance,alliance
convient,agrees
rage,rage
habitants,inhabitants
Mamie,granny
nuages,clouds
hmm,hmm
trahi,betrayed
biens,goods
Lewis,Lewis
tournage,shooting
créatures,creatures
militaires,military
blessures,injury
barbara,barbara
Louise,Louise
règlement,settlement
grant,grant
étudié,studied
courez,run
habiller,dress
soeurs,sisters
soins,care
célibataire,single
veuve,widow
Canada,Canada
dépêche,telegram
progrès,progress
dégoûtant,disgusting
fan,fan
matière,matter
avril,April
molly,molly
cercle,circle
Davis,Davis
nucléaire,nuclear
pervers,perverse
échelle,ladder
adorer,love
trouvais,found
orchestre,orchestra
déposer,to file
cadavres,corpses
échappe,escapes
emprunter,to borrow
exprimer,to express
caractère,character
libéré,released
signes,signs
fêtes,holidays
vedette,star
lisez,read
commençons,start
robin,robin
généreux,generous
méchants,bad guys
formation,training
bâton,stick
timide,timid
gentils,friendly
premières,first
passagers,passengers
immense,immense
serviette,napkin
mangez,eat
diriger,lead
passant,passing
Ruth,Ruth
min,min
préférée,favorite
perdez,lose
plaque,plaque
espion,spy
connue,known
eaux,waters
deviennent,become
emporter,to take with
Gary,Gary
cruel,cruel
citoyens,citizens
von,von
tension,voltage
ranch,ranch
Karen,karen
business,business
your,your
organiser,to organise
étonne,surprised
terroristes,terrorists
that,That
micro,microphone
ordure,filth
léger,light
température,temperature
unités,units
populaire,popular
joueurs,players
beth,beth
vincent,vincent
voies,way
regardais,watching
saloperie,trash
traverse,crossing
intelligence,intelligence
expériences,experiences
Miami,Miami
opérations,operations
santa,santa
arrange,arranges
dragon,dragon
sûrs,safe
enterrer,bury
pouviez,could
craindre,to fear
mortel,deadly
issue,outcome
demeure,remains
mouche,fly
donna,gave
octobre,October
commandé,order
passeport,passport
dés,from
couronne,Crown
oublierai,forget
accusation,charge
procédure,procedure
rendez,appointment
objection,objection
retourné,return
relax,take it easy
publique,public
appart,apartment
imagines,imagine
jouent,are playing
inde,India
travaillent,working
essaies,try
Lincoln,Lincoln
psy,psy
Vince,Vince
manuel,manual
étranges,strange
apres,after
nombreuses,many
crainte,fear
fit,made
asile,asylum
cherchait,sought
branche,plugged
groupes,groups
white,white
hop,hop
tradition,tradition
sel,salt
centrale,power plant
déçu,disappointed
tentative,attempt
négatif,negative
autorités,authorities
buter,abut
connerie,bullshit
proposé,offers
manières,manners
plaindre,complain
employé,employee
blessée,wounded
influence,affecting
forcer,force
bonté,goodness
Marcus,Marcus
CIA,CIA
sauvages,wild
personnelle,personal
couvre,covers
coucou,Cuckoo
audience,audience
out,out
savaient,knew
entretien,maintenance
bouffer,eat
ouai,yeah
impressionnant,impressive
acier,steel
renvoyer,return
salade,salad
collègues,colleagues
chefs,heads
guérir,to cure
entendue,heard
sœurs,sisters
êtait,was
semblent,appear
participer,to participate
coule,flows
dépasse,outrun
réunis,together
plairait,would please
enlevez,remove
trompes,tubal
résister,resist
technologie,technology
patrie,country
conséquences,consequences
Margaret,Margaret
cousine,female cousin
habits,clothes
splendide,splendid
Ross,Ross
pipe,pipe
abattu,beaten down
cran,guts
nue,naked
tuyau,pipe
accueillir,to welcome
découverte,discovery
arracher,to tear out
régime,diet
reçoit,receives
album,album
levez,lift
piqué,dive
original,original
remise,delivery
allume,alight
promotion,promotion
juan,juan
examiner,look
franc,franc
filé,yarn
éteint,off
canapé,sofa
commander,order
dessin,design
guère,hardly
interroger,question
oscar,Oscar
paraître,look
découvre,finds
département,department
vise,aims
obéir,to obey
renforts,reinforcement
lily,lily
événements,events
innocents,innocent
ç,vs
organisé,organized
sain,healthy
devras,will have
reprends,resume
goutte,drop
cole,cole
souffert,suffered
excitant,exciting
façons,manners
saurai,know
charlotte,charlotte
sou,sou
réveil,awakening
ken,ken
benny,benny
usa,USA
volée,flight
préférerais,rather
suprême,supreme
tarte,tart
changent,change
revienne,return
solitaire,solitary
cravate,tie
rocky,rocky
vérifiez,check
ose,dare
souper,supper
événement,event
remarque,remark
chevalier,knight
suffisamment,enough
charger,load
produire,produce
repris,taken back
record,record
carol,carol
williams,williams
jo,jo
préparez,ready
garce,bitch
mêle,mixes
étape,stage
motel,motel
pro,pro
autorisé,authorized
principale,primary
clinique,clinical
devenus,become
italie,Italy
intéressante,interesting
jonathan,jonathan
abattre,tear down
ère,time
invisible,invisible
dégâts,damages
clark,clark
élever,raise
suggère,suggests
rigole,laugh
dent,tooth
éclater,to burst
tabac,tobacco
disques,discs
manquait,missing
contacter,contact
valait,worth
fusils,guns
émotions,emotions
queje,that I
publicité,publicity
simples,simple
éléments,items
exception,exception
sincère,sincere
rattraper,catch up
efficace,effective
éteindre,switch off
linge,laundry
goûter,to taste
nathan,nathan
possibilité,possibility
canard,duck
marqué,Mark
caporal,Corporal
déplacer,move
devrez,will
morale,morals
insiste,insists
katie,katie
parking,car park
identifier,identify
pouvaient,could
personnages,characters
cabane,hut
intéressé,interested
stylo,pen
adoré,loved
attaché,attached
cri,shout
kg,kg
angle,angle
séparés,separated
traîne,dragged
instinct,instinct
déclaré,declared
sire,sire
pleut,rains
séjour,stay
ordures,garbage
Raymond,Raymond
délire,delirium
pires,worse
rumeurs,rumors
fauteuil,armchair
coûté,cost
adjoint,deputy
Stephen,Stephen
collègue,coworker
one,one
poches,pockets
novembre,November
illégal,illegal
restons,stay
bonhomme,fellow
appuie,supports
difficiles,difficult
laissera,leave
courte,short
lâ,the
tuent,kill
lot,lot
levé,survey
seules,only
vivez,live
personnalité,personality
leo,leo
scandale,scandal
conclu,concluded
frigo,fridge
admire,admires
aïe,Ouch
tragédie,tragedy
oblige,obligatory
commandes,orders
pénis,penis
boue,mud
dettes,liability
enseigne,teaches
obscurité,darkness
pages,pages
chapitre,chapter
violent,violent
signature,signature
conseille,advises
vendeur,seller
visages,faces
rarement,rarely
essayait,was trying
serré,greenhouse
mères,mothers
tels,such
halte,halt
collection,collection
désastre,disaster
noix,nuts
mourra,die
rejoins,joined
reconnaissance,acknowledgement
blagues,jokes
duke,duke
méthode,method
bienvenu,welcome
donnait,gave
gratuit,free
boîtes,cans
marches,steps
Brooklyn,Brooklyn
valises,bags
enfermé,shut in
gants,gloves
rompu,broken
coïncidence,coincidence
vilain,ugly
poing,fist
britannique,British
dispute,dispute
trahison,treason
téléphoné,telephone
août,August
feuilles,sheets
quatrième,fourth
révérend,reverend
censée,supposed
devaient,were to
placé,square
ténèbres,darkness
enfui,fled
impliqué,implied
vire,fired
pilules,pills
préfères,prefer
for,for
population,population
manges,eat
pleuré,cry
chasseur,hunter
livraison,delivery
reprend,resumes
emporte,prevails
louer,to rent out
mette,put
bizarres,weird
torture,torture
remarquable,remarkable
termes,terms
journalistes,journalists
honnêtement,honestly
câble,cable
longs,long
estime,valued
démons,demons
impôts,taxes
massacre,massacre
pomme,Apple
autoroute,highway
sociale,social
moyenne,medium
ingénieur,engineer
doug,doug
péchés,sins
laissent,leave
tarder,delay
divine,Divine
éloigner,remove
clan,clan
obligée,obliged
xena,xena
merveille,wonder
concentrer,focus
venons,just
opéra,opera
oxygène,oxygen
sexuel,sexual
industrie,industry
aimerai,love
z,z
sortons,go out
accent,accent
lawrence,lawrence
gris,Grey
sean,sean
mesures,measures
batterie,drums
toast,toast
postes,posts
communication,communication
manche,handle
grandir,grow
banques,banks
tonnes,tons
gentleman,gentleman
zut,Damn
numéros,numbers
officiel,official
chariot,cart
otages,hostages
prime,premium
poésie,poetry
annuler,to cancel
jersey,Jersey
chagrin,grief
ellen,ellen
déconne,kidding
fabuleux,fabulous
dennis,dennis
complexe,complex
trafic,traffic
trouille,funk
us,us
débrouiller,untangle
commencent,begin
cinquante,fifty
vraies,real
discute,discusses
communiste,Communist
francs,francs
sacrifice,sacrifice
française,French
foie,liver
statue,statue
résistance,resistance
mettra,will
volontiers,gladly
drogues,drugs
cercueil,coffin
pendu,hanged
ignorer,ignore
tireur,shooter
eut,had
piquer,sting
creuser,to dig
médaille,medal
crée,creates
équipement,equipment
phase,phase
chaos,chaos
salue,welcomes
survie,survival
défi,challenge
trouvés,found
rencontrée,met
boum,bang
longues,long
telles,such
arriverai,arrive
gâché,spoils
harris,harris
brigade,brigade
fiers,proud
ennuyeux,boring
cieux,heavens
contient,contains
aile,wing
oignons,onions
vaches,cows
sensation,sensation
chanceux,fortunate
angela,angela
gamine,lassie
cooper,cooper
cessé,ceased
tina,tina
ressemblait,like
plante,plant
scènes,scenes
solitude,solitude
activité,activity
mobile,mobile
principe,principle
rejoint,joined
économie,economy
armés,armed
plastique,plastic
regardent,look
chant,singing
verte,green
couru,ran
regardait,looked
ford,ford
besoins,needs
terroriste,terrorist
assister,assist
bail,lease
roue,wheel
putes,whores
sachez,know
harold,Harold
amenez,bring
génération,generation
causé,caused
entraîneur,coach
rigoles,channels
amanda,amanda
présenté,present
trompez,deceived
mordu,bitten
vampire,vampire
jacques,Jacques
fans,fans
bourré,stuffed
éliminer,eliminate
enfoirés,motherfuckers
freddy,freddy
bloc,block
pourvu,provided
décisions,decisions
eve,Eve
jacob,jacob
symbole,symbol
croirait,think
sagesse,wisdom
politiques,policies
taux,rate
nègre,Negro
jetez,throw
malédiction,curse
masse,mass
phrase,phrasing
pompes,pumps
reconnaissant,grateful
pension,pension
renoncer,to renouncer
sexuelle,sexual
regardant,watching
ordonne,ordered
four,oven
règne,reign
saut,jump
terreur,terror
avaler,swallow
ongles,nails
pratiquement,virtually
laissons,leave
jalouse,jealous
outils,tools
espérer,to hope
tueurs,killers
terriblement,terribly
charité,charity
prêtes,ready
écriture,writing
oublies,forget
adorent,love
etje,and I
luxe,luxury
irez,go
ambassadeur,ambassador
bush,bush
arrêtera,stop
informer,inform
orage,storm
revenus,earnings
pisse,piss
renvoyé,returned
sachant,knowing
tombes,fallen down
rois,kings
époux,husband
accueil,welcome
relève,reports
judy,judy
aidez,help
môme,kid
diego,diego
atmosphère,atmosphere
routes,roads
ravissante,lovely
coach,trainer
ennui,boredom
suffisant,sufficient
poème,poem
jouets,toys
jennifer,jennifer
usage,use
prières,prayers
revue,review
adaptation,adaptation
suffira,suffice
collège,middle School
singes,monkeys
otage,hostage
apprécier,appreciate
diplôme,diploma
bâtard,bastard
destination,destination
analyse,to analyse
caroline,caroline
demandent,ask
décembre,December
côtes,ribs
casier,locker
fermes,farms
patrouille,patrol
royal,royal
tit,tit
mérites,merits
texte,text
jusque,until
tigre,tiger
çà,that
be,be
médical,medical
ieur,IOR
svp,please
ron,ron
pouce,inch
plaisantez,joking
requin,shark
essentiel,essential
espèces,cash
fruit,fruit
came,cam
cesser,to cease
allen,allen
teddy,Teddy
annulé,canceled
dangereuse,dangerous
poète,poet
nanas,babes
tiendra,will hold
emmenez,take
passerai,pass
automne,fall
habillé,dressed
guerrier,warrior
pique,pike
savon,soap
satisfait,satisfied
sépare,separate
agi,acted
ordonné,ordered
serre,tight
neil,neil
cassée,broken
deviez,need
arts,arts
ramasser,to gather
anthony,anthony
baisser,to lower
pirates,pirates
avertir,to warn
menacé,threatens
so,n
détendre,loosen
rembourser,to reimburse
fabrique,made
métal,metal
expliqué,Explain
lecture,reading
josh,josh
attire,attracted
carrément,downright
irons,go
mere,mother
combats,battles
pensons,think
mélange,mixed
travaillais,working
syndicat,union
queique,queique
indice,index
marines,marine
enverrai,will send
hill,hill
processus,process
joint,joint
ouvriers,workers
marques,brands
dépassé,outmoded
pa,pa
ailles,Ailles
bats,fight
pourront,will
clown,clown
poubelle,trash can
marins,sailors
boisson,drink
vaincre,overcome
combinaison,combination
demandait,asked
testament,will
sonné,sounded
flammes,flames
dégueulasse,disgusting
ø,ø
administration,administration
commissariat,police station
envoyée,sent
green,green
dépose,deposit
lâché,cowardly
réveillée,awake
épaules,shoulders
jay,jay
artistes,artists
culotte,cheeky
vides,empty
er,st
énormément,Verry much
team,team
quittes,quits
accuse,accused
magicien,Wizard
importants,important
direz,tell
fouiller,to frisk
paierai,pay
écoles,schools
cm,cm
reverra,see again
articles,goods
trône,throne
laboratoire,laboratory
Andrew,Andrew
panier,basket
endormi,sleeping
lave,wash
buddy,buddy
cuir,leather
huh,huh
foutus,fucking
resterai,stay
cendres,ashes
stone,stone
environnement,environment
rumeur,rumor
interrompre,interrupt
vaudrait,would
matinée,morning
risquer,risk
tranquilles,quiet
earl,earl
transformer,transform
planté,plant
costumes,costume
mickey,Mickey
machin,thingy
transport,transport
señor,señor
indique,indicated
citoyen,citizen
aurions,would
times,times
viol,rape
particulièrement,particularly
pourrons,can
shirt,shirt
connards,assholes
casino,casino
douter,doubt
pendre,hang
essaierai,will try
accomplir,accomplish
pipi,Pee
allumer,light up
reviennent,return
certes,certainly
dessert,dessert
curiosité,curiousity
fraîche,fresh
lié,bound
maurice,maurice
little,little
disaient,said
vodka,vodka
pétrin,mess
témoignage,testimony
déclare,declared
scientifiques,scientists
coco,coconut
baissez,lower
Anderson,Anderson
censés,supposed
Kansas,Kansas
boules,bowls
sauras,will know
éclair,flash
vain,vain
nuage,cloud
création,creation
anneau,ring
fumier,manure
rio,rio
dose,dose
profonde,deep
étude,study
atelier,workshop
cuisiner,to cook
vaux,dale
malheureuse,unhappy
catholique,Catholic
zoo,zoo
précisément,precisely
talents,talents
activités,activities
importantes,important
bouteilles,bottles
vomir,To vomit
tonnerre,thunder
ned,ned
assuré,insured
plantes,plants
hong,hong
destinée,destiny
plaisanterie,joke
circuit,circuit
piges,rods
Moore,Moore
observer,watch
mines,mines
peindre,to paint
porno,porn
comtesse,countess
casque,helmet
rate,missed
coûter,cost
chacune,each
Jamie,Jamie
parent,relative
dépression,depression
télégramme,telegram
élu,elected
stupides,stupid
pensiez,thought
partant,thus
cash,cash
profite,benefits
caution,bail
serrer,to squeeze
maudite,accursed
intéresser,to interest
écart,difference
inquiètes,worried
oú,Where
évidence,evidence
leçons,lessons
connus,known
etc,etc.
retiré,took of
Greg,Greg
rendent,make
volontaire,voluntary
nid,nest
Oliver,Oliver
he,Hey
prêter,to lend
nichons,tits
capitale,capital city
témoigner,bear witness
équipes,teams
égoïste,self-centered
partent,leave
troupe,troop
sincèrement,truly
regretter,to regret
responsabilités,responsibilities
associés,Related
cigare,cigar
dean,dean
partirai,leave
adversaire,opponent
générale,General
misère,misery
vampires,vampires
grève,strike
Nina,Nina
suisse,Swiss
gâteaux,cakes
diamant,diamond
catastrophe,disaster
meubles,furniture
gus,gus
voyages,traveling
subir,undergo
balade,stroll
allah,Allah
mêler,mix
signez,sign
enveloppe,envelope
ressenti,feeling
führer,fuhrer
gras,fat
arrêtée,arrested
explose,explodes
range,tidy
interview,interview
tombent,fall
confier,entrust
voile,veil
fiches,sheets
embête,bothers
caravane,caravan
affection,affection
Manhattan,Manhattan
éléphant,elephant
blue,blue
vagues,waves
pleins,full
fascinant,fascinating
doutais,doubted
effrayant,frightening
commercial,commercial
rapporter,report
fonction,function
fixe,fixed
arrete,stopped
pères,fathers
circulation,traffic
tennis,tennis
Marc,Mark
navrée,sorry
civilisation,civilization
fameux,famous
retenu,retained
moutons,sheep
draps,sheets
servent,serve
jouais,playing
éternelle,eternal
couches,layers
satellite,satellite
ramasse,picked up
endormir,asleep
fillette,little girl
rendra,make
sujets,topics
remède,remedy
portez,wear
enseigner,to teach
observe,observed
ouverts,open
vues,views
sortait,out
passais,spent
ris,laugh
transfert,transfer
bidon,can
météo,weather report
explosé,exploded
loyauté,loyalty
dignité,dignity
planche,board
améliorer,to improve
hélicoptère,helicopter
civil,civil
liens,connections
vif,lively
maintenir,to keep
Craig,Craig
Vietnam,Vietnam
Claude,Claude
pacifique,peaceful
fringues,clothes
demie,half
onze,eleven
we,we
mangent,eat
connaissiez,know
rares,rare
naturelle,natural
sue,sweats
ricky,ricky
assaut,assault
fâchée,sorry
portent,carry
kay,kay
karl,karl
pareils,like
légal,legal
tracy,tracy
eus,had
pr,pr
civils,civilians
inconnue,unknown
eva,eva
disparition,disappearance
nicky,nicky
steven,steven
pompe,pump
méchante,naughty
lancement,launching
quartiers,neighborhoods
douceur,candy
tendu,tense
feuille,leaf
stuart,stuart
leader,leader
pilotes,pilots
ètait,was
mâle,male
tenais,wanted
royale,Royal
cordes,ropes
arrivez,arrive
bandes,bands
promenade,walk
magnifiques,beautiful
emma,emma
wallace,wallace
veronica,veronica
tv,TV
adn,dna
monseigneur,My lord
meure,die
airs,tunes
emmenée,took
actuellement,currently
peste,plague
Antonio,Antonio
tragique,tragic
médias,media
antenne,antenna
avertissement,Warning
brille,shines
Pedro,Pedro
conflit,conflict
pompiers,firefighters
engin,machine
douée,gifted
oublions,forget
plains,sorry
systèmes,systems
foire,fair
Sonny,Sonny
patiente,patient
coincée,trapped
canons,guns
partira,leave
soutenir,to support
beach,beach
poussez,push
saigne,bleeding
toc,fake
construction,construction
boucher,Butcher
missiles,missiles
compétition,competition
buvons,let's drink
motif,pattern
ambassade,embassy
warren,warren
régiment,regiment
remarquer,to remark
enregistré,checked in
collins,collins
enregistrement,registration
doutes,doubts
sien,his
profit,profit
sammy,doughboy
audition,hearing
lame,blade
opportunité,opportunity
scotch,Scotch
imaginé,conceived
coke,coke
existent,exist
budget,budget
pearl,pearl
basse,low
selle,saddle
déja,already
historique,historical
officiellement,officially
effacer,to erase
loge,box
francis,francis
décrire,to describe
osé,bold
éternel,eternal
serpents,snakes
demanderai,ask
médicament,medication
deviné,guess
armées,armed
promesses,promises
chaînes,chains
sentait,felt
association,association
viennes,come
quai,dock
poker,poker
saleté,dirt
sandy,sandy
ã,To
irak,Iraq
commences,begin
crevé,flat
cuba,Cuba
wendy,wendy
profil,profile
travis,travis
tache,task
viendront,will
étudie,studied
apportez,bring
tribu,tribe
crié,calls out
entraîne,results
héroïne,heroin
changements,change
joan,joan
correctement,correctly
essaient,try
mouvements,movements
atterrir,to land
formes,forms
coca,Coca
fragile,brittle
poignée,handle
cadre,frame
genou,knee
conçu,designed
revu,reviewed
légitime,legitimate
sauvée,saved
déménager,to relocate
conne,bitch
dentiste,Dentiste
aiier,aiier
ondes,wave
ralph,ralph
mené,conducted
discipline,disciplined
évacuer,clear out
parié,bet
bières,beers
arabe,Arab
Russell,Russell
identifié,identified
recevez,receive
cachée,hidden
évite,avoid
dormais,sleeping
utilisez,use
décès,death
guy,guy
get,get
demoiselle,damsel
fui,fled
ressemblent,look alike
misérable,wretched
fatigue,tired
ancêtres,ancestors
camions,trucks
dormez,sleep
pan,fold
duré,hard
disponible,available
vôtres,yours
cuit,cooked
marchait,walking
nage,swim
come,come
suspects,suspects
menottes,handcuffs
nique,picnic
panneau,sign
rit,laughs
pognon,dough
illusion,illusion
menu,menu
Ronnie,Ronnie
établir,establish
mettons,put
retrouvée,found
sabre,saber
André,Andrew
épuisé,exhausted
restés,remains
continues,continuous
chanteur,singer
kid,kid
lola,lola
prés,near
tendance,tendency
souvient,recalls
enfermer,lock
thérapie,therapy
vaisselle,dishes
tournez,turn
accorde,allowed
chemins,paths
troupeau,herd
saluer,greet
uh,uh
Kennedy,Kennedy
nettoie,cleans
assiette,plate
discuté,discussed
touches,keys
impact,impact
dessins,drawings
rompre,to break up
suivent,follow
sienne,his
verrons,see
angoisse,anguish
états,states
vivons,live
Mitchell,Mitchell
écrasé,crushed
tiennent,take
pape,Pope
connaissons,know
Murphy,Murphy
Ivan,Ivan
supposé,Assumed
colonne,column
assistante,assistant
mettrai,put
maquillage,makeup
ticket,ticket
réussite,success
quête,quest
boxe,boxing
proposer,to propose
boutons,buttons
arriverait,happen
assassins,assassins
répétition,repetition
agissait,was
culpabilité,guilt
pirate,pirate
blanches,white
brésil,Brazil
penny,penny
maîtres,masters
psychiatre,psychiatrist
miracles,miracles
hello,Hello
honorable,honorable
collines,Hills
vachement,really
taureau,Taurus
considère,considered
âne,donkey
whoa,whoa
comprennent,include
Christian,Christian
Justin,Justin
méthodes,methods
canal,channel
navette,shuttle bus
Tyler,Tyler
légère,light
sortant,outgoing
chaussettes,socks
revanche,revenge
remet,returns
mentez,lie
bud,bud
Abby,Abby
poils,fur
placer,to place
absent,absent
arrivais,arrived
escaliers,stairs
funérailles,funeral
routine,routine
noté,note
prenais,took
conducteur,driver
subi,sustained
photographe,photographer
noires,black
marchandise,merchandise
prendrais,take
émotion,emotion
défaut,fault
satan,Satan
occuperai,take care
dog,dog
mystérieux,mysterious
carmen,carmen
possession,possession
responsables,officials
raccroche,hangs
intentions,intentions
minimum,minimum
négocier,to negotiate
janvier,January
baraque,booth
batte,bat
irlandais,Irish
filet,net
confortable,comfortable
fermés,closed
ressources,resources
rayons,rays
innocente,innocent
Harvard,Harvard
expédition,expedition
may,may
profession,profession
plaira,please
bêtise,foolishness
restant,remaining
jugé,judge
Mitch,Mitch
organise,organized
rappelé,recalled
puissante,powerful
pertes,losses
saurait,can
planque,stash
ressentir,to feel
grotte,cave
gentiment,kindly
péter,to fart
chienne,female dog
tristesse,sadness
héritage,heritage
occupera,occupy
Benjamin,Benjamin
Antoine,Antoine
bloqué,blocked
punition,punishment
constamment,constantly
contents,happy
visites,visits
infiniment,infinitely
effectivement,effectively
chiffre,figure
conscient,aware
manager,manager
représentant,representing
anglaise,English
cauchemars,nightmares
Jan,Jan
continué,keep on going
réduit,reduced
gré,will
filmé,filmed
stars,stars
Owen,Owen
embrassé,embraced
peint,painted
reparti,go again
soie,silk
Lloyd,Lloyd
voisine,neighbor
douzaine,dozen
frankenstein,frankenstein
attaques,attacks
gênant,embarrassing
superman,superman
arrivant,coming
brillante,bright
atterrissage,landing
attendra,will wait
allure,look
pénible,hard
faibles,low
clef,key
Bruno,Bruno
Christine,Christine
Rebecca,Rebecca
bang,bang
pété,farted
gardiens,guards
formule,formula
soda,soda
frites,fries
fées,fairy
angel,angel
mm,mm
aperçu,preview
imaginais,imagined
aussitôt,right away
énormes,enormous
wade,wade
choisit,chooses
montée,climb
baignoire,bathtub
principes,principles
homo,homo
marchand,trader
cochons,pigs
spécialiste,specialist
repéré,spotted
récupéré,recovered
extra,extra
éclate,bursts
survivants,survivors
auquel,which
apparence,appearance
sucer,suck
habiter,to live in
excité,excited
Houston,Houston
jules,stud
foudre,lightning
chasseurs,hunters
walker,walker
with,with
nièce,niece
urgences,emergency room
mérité,deserved
dépensé,spent
boys,boys
saisir,to input
équilibre,balance
allumé,alight
lâches,cowardly
bruits,sounds
protégé,protected
résolu,resolved
probable,likely
poursuite,pursuit
baker,baker
résidence,residence
cognac,cognac
Clyde,Clyde
muscles,muscles
passées,past
intime,respondent
république,Republic
serviteur,servant
noyer,Walnut
mortes,dead
trompée,deceived
morgue,morgue
cherchons,looking
coma,coma
capables,capable
berger,shepherd
apprendra,learn
amateur,amateur
dises,tell
vertu,virtue
permets,allow
mafia,mafia
engagement,commitment
lesquelles,which
cachette,hideout